attack_type;target_system;outcome;timestamp;attacker_ip;target_ip;data_compromised_GB;attack_duration_min;security_tools_used;user_role;location;attack_severity;industry;response_time_min;mitigation_method
Ransomware;Network Switch;Failure;23:33.6;151.119.251.244;58.227.45.179;7.04;220;Antivirus;Admin;France;9;Manufacturing;155;Block IP
DDoS;IoT Device;Failure;08:14.6;212.130.199.168;146.206.243.138;66.93;99;Firewall;Employee;Brazil;2;Energy;32;Containment
Cross-Site Scripting;API;Success;00:52.6;131.106.250.41;74.150.44.137;18.76;162;VPN;Contractor;Australia;8;Healthcare;164;Containment
SQL Injection;Database;Success;08:28.6;182.0.71.33;115.206.146.106;55.98;1;Antivirus;External User;Australia;4;Government;20;Containment
SQL Injection;Web Server;Success;03:04.6;117.238.64.45;74.30.235.99;13.28;62;MFA;Contractor;Canada;4;Technology;93;Containment
SQL Injection;Email Server;Failure;03:40.6;177.99.23.167;227.211.52.227;58.22;96;IDS;Admin;Australia;7;Finance;74;Patch
SQL Injection;User Account;Success;51:41.6;210.56.254.249;77.182.140.104;18.33;77;WAF;Contractor;Germany;5;Education;157;Reset Credentials
Cross-Site Scripting;Web Server;Failure;49:33.6;185.44.70.104;119.214.238.234;9.66;150;SIEM;Employee;Germany;1;Retail;171;Containment
Phishing;Email Server;Failure;39:44.6;178.181.18.17;49.66.249.232;81.18;281;IDS;Admin;India;5;Healthcare;148;Reset Credentials
Phishing;Cloud Service;Failure;42:55.6;206.15.247.3;121.167.33.74;48.74;237;VPN;Employee;Russia;10;Manufacturing;1;Block IP
DDoS;IoT Device;Failure;47:14.6;65.244.18.204;170.234.189.146;13.56;171;MFA;Admin;Brazil;2;Technology;79;Reset Credentials
Malware;API;Success;04:39.6;209.224.166.243;219.34.158.200;50.64;190;IDS;Admin;Germany;5;Government;176;Block IP
Malware;Network Switch;Success;45:07.6;3.135.95.166;204.31.149.130;27.09;69;VPN;Contractor;Germany;10;Finance;17;Block IP
SQL Injection;Database;Success;56:20.6;138.203.66.133;65.190.62.220;9.64;64;WAF;Employee;Russia;9;Education;28;Containment
DDoS;User Account;Failure;17:19.6;92.103.96.170;222.170.223.103;42.67;160;MFA;Employee;France;10;Retail;107;Reset Credentials
Phishing;Network Switch;Failure;46:53.6;146.225.26.176;160.220.64.162;18.27;24;WAF;Employee;France;7;Education;22;Reset Credentials
Phishing;IoT Device;Failure;19:34.6;217.96.205.165;110.189.241.199;95.51;270;Firewall;Contractor;Canada;10;Healthcare;45;Patch
Malware;User Account;Success;08:10.6;65.210.28.131;22.218.170.30;14.91;269;Firewall;Admin;India;7;Finance;28;Block IP
Cross-Site Scripting;Network Switch;Failure;53:25.6;52.68.75.111;214.243.39.64;48.94;232;Firewall;Contractor;Russia;1;Retail;156;Reset Credentials
Zero-Day Exploit;API;Success;37:30.6;124.228.91.146;197.171.21.86;98.55;136;Endpoint Detection;Employee;India;1;Healthcare;136;Quarantine
Ransomware;IoT Device;Failure;59:46.6;17.218.44.57;92.246.140.201;72.94;58;WAF;External User;Australia;5;Technology;88;Reset Credentials
DDoS;Cloud Service;Success;44:32.6;224.1.181.236;177.89.17.134;4.04;153;Firewall;Admin;France;9;Technology;96;Patch
SQL Injection;IoT Device;Success;16:47.6;80.79.69.224;157.203.35.14;55;145;Endpoint Detection;Employee;China;1;Manufacturing;121;Block IP
Zero-Day Exploit;Web Server;Failure;55:00.6;117.240.146.133;202.219.89.145;90.74;265;IDS;Admin;Germany;4;Finance;116;Quarantine
Ransomware;IoT Device;Success;04:39.6;246.53.206.31;160.241.170.50;9.8;52;Endpoint Detection;External User;China;7;Manufacturing;47;Quarantine
Malware;Network Switch;Success;01:49.6;132.45.161.28;41.42.76.109;5.48;209;MFA;Employee;China;4;Energy;134;Block IP
Phishing;Cloud Service;Failure;24:27.6;118.206.134.104;101.174.39.161;33.91;31;Endpoint Detection;External User;Australia;4;Retail;37;Quarantine
SQL Injection;User Account;Success;12:52.6;220.91.222.227;94.222.111.249;32.65;271;Endpoint Detection;Admin;China;6;Healthcare;36;Containment
Phishing;User Account;Success;29:13.6;145.245.147.167;223.55.102.228;71.5;264;MFA;Admin;Brazil;7;Government;179;Quarantine
Brute Force;Database;Failure;48:07.6;179.106.219.229;116.77.138.165;89.94;112;Antivirus;Contractor;UK;10;Finance;125;Quarantine
Cross-Site Scripting;Network Switch;Failure;50:32.6;62.204.85.81;64.13.11.247;76.61;164;IDS;External User;Brazil;10;Government;18;Containment
DDoS;Database;Failure;22:08.6;200.78.185.214;162.126.188.209;93.41;235;WAF;Employee;India;7;Education;134;Quarantine
Phishing;API;Success;50:53.6;56.8.85.51;241.245.246.104;31.7;185;WAF;Contractor;Canada;8;Government;64;Quarantine
SQL Injection;Database;Failure;26:38.6;119.191.223.5;25.14.177.159;86.06;24;Endpoint Detection;Admin;Canada;7;Finance;71;Containment
SQL Injection;User Account;Success;47:42.6;118.226.82.69;208.111.42.180;79.87;248;SIEM;Admin;UK;2;Healthcare;171;Quarantine
Ransomware;Database;Success;43:19.6;151.116.24.34;208.160.38.89;21.4;39;IDS;Contractor;France;7;Energy;155;Reset Credentials
Malware;API;Success;40:33.6;127.43.27.37;180.217.205.30;41.04;3;IDS;Contractor;Brazil;6;Energy;37;Containment
SQL Injection;IoT Device;Success;47:58.6;139.213.252.133;34.240.69.149;63.07;267;SIEM;Admin;Russia;8;Education;105;Block IP
Ransomware;Network Switch;Failure;31:55.6;202.7.85.250;4.78.161.194;52.58;216;WAF;External User;Russia;8;Healthcare;67;Patch
Zero-Day Exploit;IoT Device;Success;40:39.6;59.244.252.186;221.193.117.176;2.47;123;IDS;Employee;USA;4;Retail;146;Reset Credentials
Malware;Web Server;Success;33:54.6;86.151.199.213;143.176.123.42;69.44;258;MFA;Admin;India;10;Finance;47;Quarantine
DDoS;Cloud Service;Failure;45:48.6;20.149.108.22;85.179.126.141;36.39;99;VPN;Admin;Australia;1;Energy;92;Block IP
Cross-Site Scripting;IoT Device;Failure;15:56.6;249.218.151.142;190.252.1.116;81.35;246;VPN;External User;USA;6;Government;58;Patch
DDoS;Cloud Service;Failure;59:48.6;204.120.106.180;61.80.188.236;42.07;97;IDS;External User;Australia;5;Manufacturing;115;Patch
SQL Injection;IoT Device;Success;09:09.6;207.250.92.208;214.176.247.137;12.54;208;Antivirus;Employee;India;10;Healthcare;37;Containment
DDoS;User Account;Success;56:14.6;65.17.24.230;192.96.54.223;39.24;228;Firewall;Contractor;Germany;4;Healthcare;83;Quarantine
Phishing;User Account;Failure;05:50.6;26.181.70.42;86.148.174.140;57.02;12;MFA;External User;China;8;Technology;79;Block IP
Ransomware;User Account;Success;13:27.6;231.205.92.146;208.151.28.44;68.29;127;Firewall;Employee;Australia;3;Education;148;Block IP
Malware;User Account;Failure;18:34.6;114.109.202.115;35.167.30.253;20.76;41;WAF;Employee;USA;7;Technology;62;Containment
Cross-Site Scripting;API;Success;29:36.6;85.251.41.176;181.109.160.76;31.19;17;Firewall;Employee;Brazil;4;Retail;113;Reset Credentials
Cross-Site Scripting;Network Switch;Success;41:57.6;187.185.12.206;132.237.219.73;96.14;248;VPN;Contractor;Brazil;1;Retail;163;Reset Credentials
Phishing;User Account;Success;31:58.6;149.24.60.139;174.4.194.197;65;94;IDS;Contractor;USA;9;Technology;76;Block IP
Ransomware;User Account;Success;28:50.6;2.197.87.56;169.73.117.23;9.44;132;Antivirus;Contractor;Russia;8;Healthcare;60;Quarantine
Zero-Day Exploit;Network Switch;Failure;50:18.6;210.146.159.78;42.52.166.159;15.59;111;VPN;Employee;France;10;Manufacturing;11;Patch
Brute Force;User Account;Success;21:55.6;10.57.63.230;19.213.26.120;10.42;150;WAF;Employee;India;6;Government;34;Containment
Malware;Database;Success;21:48.6;192.78.2.208;18.89.112.21;75.85;151;Endpoint Detection;Admin;UK;1;Government;59;Containment
Cross-Site Scripting;Email Server;Failure;49:23.6;51.40.33.85;90.46.96.240;14.15;37;Antivirus;Contractor;Brazil;1;Education;46;Block IP
Zero-Day Exploit;Email Server;Failure;52:57.6;244.212.165.118;135.0.176.86;52.28;284;VPN;External User;Australia;10;Manufacturing;135;Quarantine
Malware;Database;Failure;23:02.6;211.199.73.234;2.84.244.51;46.57;285;Firewall;Contractor;Australia;2;Education;112;Reset Credentials
DDoS;API;Success;35:50.6;211.138.7.89;77.3.83.162;62.38;116;SIEM;External User;USA;9;Education;80;Patch
Ransomware;Database;Success;24:01.6;33.15.30.224;17.133.76.105;38.69;238;Firewall;Admin;UK;7;Government;6;Containment
Cross-Site Scripting;Web Server;Failure;41:36.6;101.104.144.128;46.83.86.157;66.27;187;SIEM;Contractor;Germany;10;Education;52;Containment
Malware;Web Server;Failure;44:12.6;195.57.37.32;54.188.0.238;9.82;11;Endpoint Detection;Admin;Australia;6;Retail;29;Reset Credentials
Malware;Network Switch;Failure;16:18.6;21.138.93.253;161.171.39.229;56.46;179;MFA;Admin;India;1;Technology;139;Block IP
Zero-Day Exploit;API;Failure;46:27.6;39.105.108.144;200.1.189.242;99.62;74;Firewall;External User;UK;8;Manufacturing;45;Patch
SQL Injection;IoT Device;Success;06:22.6;55.18.181.214;117.190.178.236;16.18;153;WAF;Employee;USA;2;Education;180;Patch
Zero-Day Exploit;Network Switch;Failure;01:19.6;253.187.159.252;39.223.117.34;47.11;277;WAF;Employee;Australia;8;Manufacturing;101;Block IP
Malware;IoT Device;Failure;08:11.6;155.242.224.250;30.126.191.213;75.58;47;MFA;External User;UK;2;Government;139;Containment
Phishing;IoT Device;Success;27:55.6;100.173.134.8;93.171.38.104;96.72;11;Endpoint Detection;External User;USA;1;Manufacturing;64;Quarantine
Malware;Database;Success;23:02.6;3.253.21.237;28.155.233.75;45.91;54;MFA;Admin;India;2;Energy;167;Containment
Cross-Site Scripting;Cloud Service;Success;52:05.6;106.194.228.30;124.67.192.135;63.58;110;MFA;Contractor;Brazil;10;Retail;106;Reset Credentials
Phishing;Database;Failure;20:07.6;35.61.221.177;2.8.48.100;78.23;46;MFA;Admin;China;7;Technology;112;Block IP
Cross-Site Scripting;Cloud Service;Success;45:17.6;97.148.226.20;92.94.25.126;75.89;260;MFA;Contractor;Australia;5;Finance;103;Patch
Ransomware;User Account;Failure;11:19.6;37.183.39.232;167.153.195.248;66.9;6;VPN;External User;France;10;Technology;142;Quarantine
Brute Force;Email Server;Success;59:52.6;163.242.168.112;100.213.118.242;88.29;176;Antivirus;Employee;China;5;Manufacturing;151;Containment
DDoS;Cloud Service;Success;08:21.6;80.10.224.137;144.163.83.220;52.38;282;Firewall;External User;France;1;Healthcare;47;Patch
DDoS;Cloud Service;Success;39:23.6;72.13.126.25;240.131.245.145;67.21;112;MFA;Admin;Russia;7;Education;116;Patch
Zero-Day Exploit;Database;Success;56:58.6;251.108.115.200;14.88.73.255;63.07;80;WAF;Admin;France;6;Government;1;Block IP
Phishing;Web Server;Success;38:04.6;24.248.209.18;68.156.67.245;1.79;71;SIEM;Employee;USA;7;Government;138;Patch
SQL Injection;Network Switch;Success;02:41.6;252.168.55.105;208.217.112.39;0.3;271;VPN;Admin;Brazil;5;Manufacturing;41;Patch
Phishing;Email Server;Success;04:01.6;23.143.221.121;46.211.60.194;13.89;183;SIEM;External User;Germany;2;Finance;34;Quarantine
Phishing;IoT Device;Failure;00:58.6;179.195.231.196;120.50.241.115;75.15;128;WAF;Employee;France;8;Energy;24;Containment
Cross-Site Scripting;Network Switch;Failure;54:03.6;237.195.129.100;13.16.97.57;11.01;42;SIEM;Admin;India;7;Government;91;Block IP
Brute Force;IoT Device;Success;52:48.6;82.211.62.34;244.93.97.147;81.42;282;Endpoint Detection;Contractor;India;9;Healthcare;79;Block IP
Phishing;Database;Success;28:57.6;14.44.92.128;44.154.213.253;75.51;158;IDS;External User;France;10;Healthcare;159;Containment
Brute Force;Email Server;Success;31:12.6;225.49.33.55;216.227.79.64;98.38;58;VPN;Contractor;China;2;Technology;75;Quarantine
Zero-Day Exploit;IoT Device;Failure;29:02.6;13.162.82.223;69.154.67.3;4.08;232;Endpoint Detection;Employee;China;1;Manufacturing;24;Reset Credentials
Cross-Site Scripting;Email Server;Success;22:58.6;230.152.48.164;234.102.122.231;99.3;51;MFA;External User;Germany;5;Technology;74;Containment
Ransomware;Web Server;Success;55:51.6;72.188.35.141;123.14.155.81;96;202;VPN;External User;Brazil;10;Education;119;Patch
Cross-Site Scripting;Network Switch;Success;40:49.6;74.110.15.239;186.231.251.72;87.76;263;Firewall;Contractor;UK;6;Energy;114;Block IP
Phishing;Web Server;Success;51:24.6;77.69.6.230;22.215.154.206;66.02;227;IDS;Admin;India;7;Technology;173;Block IP
Ransomware;Database;Failure;56:00.6;205.254.71.107;231.38.229.154;87.38;20;Antivirus;Employee;China;6;Government;122;Reset Credentials
Ransomware;Cloud Service;Success;58:36.6;4.57.221.100;60.167.203.32;67.77;194;Firewall;Employee;Brazil;1;Retail;66;Reset Credentials
SQL Injection;Email Server;Failure;42:05.6;75.27.21.181;253.187.212.116;83.43;184;Firewall;Employee;Germany;9;Energy;99;Patch
Brute Force;User Account;Success;59:02.6;3.15.19.73;191.89.8.249;28.75;167;IDS;Contractor;Canada;8;Healthcare;105;Block IP
Brute Force;Database;Failure;36:02.6;101.99.180.43;156.55.64.79;97.49;238;MFA;Employee;India;7;Government;72;Containment
Zero-Day Exploit;Email Server;Success;09:41.6;101.83.226.5;103.42.236.51;97.9;238;VPN;Employee;Canada;1;Finance;156;Quarantine
DDoS;Web Server;Failure;46:56.6;16.182.82.196;85.192.99.7;57.12;100;Antivirus;Contractor;China;3;Healthcare;155;Reset Credentials
Malware;IoT Device;Failure;25:36.6;57.173.125.171;183.48.155.34;49.37;96;VPN;Admin;Russia;3;Energy;132;Quarantine
Phishing;Cloud Service;Success;34:22.6;165.179.123.40;134.186.215.8;61.78;70;IDS;Contractor;Germany;3;Finance;157;Reset Credentials
Cross-Site Scripting;IoT Device;Failure;20:41.6;178.41.72.57;186.220.45.228;65.95;27;Firewall;Admin;Germany;10;Finance;139;Patch
Brute Force;API;Success;21:12.6;94.17.230.68;103.81.12.52;34.95;98;Antivirus;Employee;Germany;7;Manufacturing;168;Quarantine
SQL Injection;Database;Failure;24:32.6;96.231.182.217;134.104.232.189;8.5;87;Firewall;Contractor;Russia;6;Finance;11;Block IP
Ransomware;IoT Device;Success;23:05.6;201.2.107.101;137.157.237.115;80.45;236;IDS;Contractor;France;2;Healthcare;96;Block IP
DDoS;User Account;Failure;04:28.6;36.85.206.114;132.209.40.237;7.24;20;MFA;External User;Germany;10;Healthcare;35;Containment
DDoS;Email Server;Success;54:41.6;253.200.181.87;83.119.243.253;0.47;79;WAF;Admin;China;7;Healthcare;164;Containment
Malware;Web Server;Success;27:15.6;13.196.219.161;156.49.172.31;35.48;124;Antivirus;Contractor;China;8;Education;93;Containment
SQL Injection;Email Server;Success;24:13.6;152.123.167.24;163.101.217.109;30.41;282;Endpoint Detection;Employee;Brazil;6;Energy;22;Block IP
Cross-Site Scripting;User Account;Failure;59:13.6;30.115.133.174;189.128.243.48;56.23;49;Endpoint Detection;External User;China;10;Government;96;Patch
Ransomware;API;Success;10:23.6;199.25.55.18;169.129.173.29;52.32;146;Antivirus;External User;France;5;Manufacturing;117;Quarantine
Zero-Day Exploit;Cloud Service;Failure;51:16.6;53.3.24.88;249.136.196.99;64.5;201;MFA;Employee;Russia;4;Finance;56;Patch
SQL Injection;API;Failure;14:38.6;90.109.178.119;119.101.55.185;18.95;11;WAF;Admin;China;4;Finance;81;Block IP
SQL Injection;Cloud Service;Success;45:19.6;109.252.157.32;182.248.1.126;73.36;208;MFA;External User;Canada;2;Retail;146;Containment
DDoS;API;Success;33:44.6;159.221.112.134;112.101.245.226;53.63;60;MFA;External User;Brazil;3;Manufacturing;161;Patch
Zero-Day Exploit;API;Success;31:17.6;247.140.70.72;250.177.31.60;41.07;95;WAF;External User;USA;7;Energy;75;Reset Credentials
Ransomware;Cloud Service;Success;38:24.6;68.146.241.254;12.70.82.135;78.6;281;Firewall;Contractor;France;8;Education;62;Patch
Ransomware;Network Switch;Success;08:02.6;249.16.12.144;112.5.70.182;3.19;300;VPN;Employee;UK;9;Manufacturing;126;Quarantine
Phishing;IoT Device;Success;21:10.6;141.151.61.58;110.42.170.192;15.96;297;VPN;Admin;Russia;2;Finance;31;Containment
Zero-Day Exploit;API;Success;09:38.6;75.101.164.121;155.224.90.254;38.2;232;Firewall;Employee;UK;2;Technology;47;Containment
Zero-Day Exploit;IoT Device;Success;30:13.6;80.56.231.37;189.16.72.39;40.92;278;SIEM;Employee;USA;9;Retail;116;Block IP
Cross-Site Scripting;Web Server;Failure;08:26.6;103.155.234.13;207.134.227.58;6.91;58;Antivirus;Contractor;Australia;3;Education;104;Containment
Zero-Day Exploit;IoT Device;Failure;04:30.6;226.183.182.218;203.29.112.26;6.37;80;WAF;Admin;France;2;Healthcare;100;Block IP
Ransomware;Email Server;Failure;54:06.6;89.37.64.186;167.217.83.175;54.79;172;Endpoint Detection;Employee;France;6;Energy;53;Containment
Ransomware;Database;Success;29:22.6;11.234.41.46;129.6.170.164;64.06;40;Endpoint Detection;Employee;USA;8;Healthcare;55;Containment
Phishing;Email Server;Failure;07:54.6;68.61.231.222;83.84.75.44;14.87;279;IDS;Contractor;USA;6;Education;148;Containment
Ransomware;Network Switch;Success;31:39.6;91.235.122.162;52.218.191.217;80.31;37;SIEM;Contractor;Brazil;1;Government;18;Block IP
DDoS;API;Success;44:36.6;229.108.63.126;203.237.184.79;51.6;150;WAF;Contractor;China;7;Manufacturing;135;Patch
Brute Force;User Account;Success;47:11.6;1.190.135.209;108.20.161.235;68;211;MFA;External User;UK;2;Education;62;Reset Credentials
Ransomware;IoT Device;Failure;08:49.6;195.102.1.222;92.234.191.171;53.39;52;MFA;Employee;India;3;Energy;108;Block IP
Ransomware;Cloud Service;Failure;12:23.6;187.248.217.26;81.196.191.16;75.73;3;Antivirus;Contractor;Brazil;5;Manufacturing;161;Reset Credentials
Phishing;IoT Device;Failure;42:30.6;177.84.255.149;226.61.26.19;58.99;14;Endpoint Detection;Employee;USA;6;Healthcare;2;Quarantine
SQL Injection;Email Server;Failure;39:35.6;104.107.65.106;233.233.82.148;94.98;283;Antivirus;External User;Russia;2;Retail;134;Block IP
Ransomware;API;Success;58:17.6;145.224.167.245;83.162.211.157;38.61;126;Antivirus;External User;Australia;10;Finance;61;Quarantine
Zero-Day Exploit;User Account;Failure;57:00.6;37.234.32.121;44.17.11.120;29.37;248;Endpoint Detection;Contractor;India;7;Healthcare;37;Quarantine
SQL Injection;Database;Success;34:20.6;75.166.60.93;194.115.127.64;31.57;68;WAF;Admin;USA;2;Energy;100;Reset Credentials
Cross-Site Scripting;Web Server;Failure;02:26.6;19.195.157.12;49.18.196.104;33.5;190;MFA;External User;UK;5;Retail;90;Quarantine
Brute Force;User Account;Failure;01:06.6;69.76.209.45;221.219.61.81;46.25;15;IDS;Admin;USA;8;Healthcare;90;Reset Credentials
SQL Injection;IoT Device;Failure;15:22.6;147.11.59.194;243.251.1.70;32.98;78;Firewall;Contractor;Germany;4;Energy;102;Quarantine
DDoS;API;Failure;58:37.6;235.135.77.32;172.135.204.124;56.15;281;VPN;Employee;Germany;2;Retail;131;Containment
Brute Force;Cloud Service;Failure;55:18.6;160.23.193.8;226.102.65.184;87.29;262;VPN;External User;Russia;2;Retail;172;Patch
Malware;Network Switch;Success;14:58.6;21.128.110.105;31.168.9.158;34.25;10;IDS;External User;India;6;Energy;106;Reset Credentials
Malware;Cloud Service;Failure;33:43.6;154.65.242.133;39.71.191.74;9.71;26;MFA;Admin;Brazil;2;Education;9;Block IP
DDoS;User Account;Success;19:44.6;229.152.51.198;48.58.235.182;0.68;53;WAF;Admin;UK;6;Finance;114;Quarantine
Phishing;Database;Success;05:43.6;249.187.59.241;180.66.164.6;90.04;17;VPN;Contractor;UK;7;Technology;98;Reset Credentials
Malware;User Account;Failure;15:37.6;137.189.10.29;46.253.152.234;45.63;216;MFA;External User;USA;10;Finance;63;Patch
Ransomware;Cloud Service;Failure;47:52.6;150.123.17.109;117.58.207.124;61.56;169;Endpoint Detection;External User;Canada;4;Government;83;Reset Credentials
Brute Force;IoT Device;Success;01:22.6;122.114.55.212;140.171.97.150;3.11;70;MFA;Admin;USA;3;Education;165;Containment
Phishing;IoT Device;Success;45:06.6;213.24.75.74;18.196.92.228;32.16;131;WAF;Admin;Germany;10;Retail;180;Reset Credentials
Cross-Site Scripting;Web Server;Success;30:49.6;147.40.118.36;43.13.245.195;17.13;120;VPN;External User;China;2;Energy;172;Containment
Brute Force;Database;Success;51:32.6;56.154.174.189;19.84.145.99;16.23;275;IDS;Employee;Germany;10;Retail;21;Block IP
Zero-Day Exploit;Network Switch;Success;15:07.6;177.226.92.77;236.44.169.2;24.18;203;Antivirus;Admin;Russia;5;Manufacturing;118;Reset Credentials
SQL Injection;IoT Device;Failure;14:50.6;51.150.8.3;171.148.84.164;80.82;224;Firewall;External User;USA;3;Manufacturing;88;Block IP
Ransomware;Web Server;Success;03:08.6;170.149.37.192;59.177.72.63;17.79;275;Endpoint Detection;External User;Brazil;4;Energy;63;Reset Credentials
Zero-Day Exploit;User Account;Success;52:32.6;225.140.30.182;128.188.174.91;62.06;248;VPN;Contractor;China;4;Manufacturing;74;Reset Credentials
Cross-Site Scripting;Cloud Service;Success;06:20.6;170.17.225.165;53.27.28.111;83.45;147;VPN;Employee;UK;6;Retail;11;Quarantine
Zero-Day Exploit;User Account;Success;31:04.6;97.65.202.253;113.94.24.246;23.41;47;Endpoint Detection;External User;China;10;Finance;98;Reset Credentials
Zero-Day Exploit;User Account;Success;13:56.6;240.15.187.141;47.24.241.230;79.69;161;Firewall;Employee;UK;6;Government;167;Reset Credentials
Ransomware;Web Server;Success;55:35.6;220.71.84.6;161.224.96.141;60.93;31;Antivirus;External User;India;5;Retail;176;Containment
Phishing;Email Server;Success;37:52.6;248.221.180.238;215.223.23.45;39.6;215;Endpoint Detection;Employee;USA;8;Education;147;Patch
Ransomware;IoT Device;Success;58:45.6;46.138.35.97;209.253.74.191;99.27;289;Firewall;Employee;Canada;3;Technology;89;Reset Credentials
Ransomware;Network Switch;Failure;52:49.6;188.24.98.135;12.103.248.203;1.91;151;Firewall;Employee;Germany;10;Healthcare;114;Block IP
Malware;Email Server;Failure;07:59.6;98.80.67.57;215.13.158.45;82.94;186;VPN;Admin;France;9;Finance;115;Containment
DDoS;Email Server;Success;19:31.6;183.204.173.137;194.107.17.203;10.18;154;VPN;External User;Russia;1;Energy;19;Patch
Malware;IoT Device;Success;17:02.6;107.70.246.71;101.12.90.172;97.77;16;Firewall;Admin;China;8;Education;47;Patch
Ransomware;User Account;Success;24:26.6;126.54.48.204;160.48.105.156;93.32;58;IDS;Contractor;USA;3;Manufacturing;143;Containment
SQL Injection;API;Failure;16:31.6;64.89.230.68;238.115.103.148;11.06;100;IDS;Admin;Russia;1;Government;110;Patch
DDoS;Web Server;Failure;18:32.6;207.106.97.227;197.223.190.224;90.2;6;MFA;Employee;France;8;Education;152;Containment
Malware;Web Server;Success;27:16.6;181.192.81.72;142.135.143.78;74.3;19;VPN;Admin;India;9;Technology;17;Reset Credentials
Phishing;Web Server;Success;33:51.6;219.223.220.189;112.13.157.95;58.01;296;Antivirus;Admin;UK;4;Finance;56;Reset Credentials
Ransomware;Web Server;Success;56:05.6;10.204.46.233;132.194.20.247;42.26;123;Endpoint Detection;Contractor;France;3;Education;53;Quarantine
DDoS;IoT Device;Success;46:23.6;164.36.202.253;9.210.103.84;48.55;66;MFA;Employee;India;9;Manufacturing;143;Patch
Phishing;Cloud Service;Success;27:49.6;212.222.48.34;102.34.81.175;70.08;70;MFA;Contractor;USA;4;Retail;129;Quarantine
Phishing;Network Switch;Failure;36:58.6;42.203.134.38;183.93.55.226;89.32;112;Endpoint Detection;External User;India;3;Retail;170;Patch
SQL Injection;Cloud Service;Success;22:15.6;255.243.74.253;23.5.1.228;34.32;60;IDS;Contractor;Russia;7;Technology;99;Patch
Malware;Email Server;Failure;08:15.6;53.27.6.176;244.7.1.163;66.95;225;Endpoint Detection;Contractor;Brazil;2;Retail;47;Block IP
DDoS;Database;Failure;28:02.6;203.197.91.44;30.22.198.137;35.64;42;VPN;Contractor;UK;2;Energy;98;Patch
Zero-Day Exploit;Database;Failure;16:00.6;17.11.189.125;163.116.247.181;19.46;276;Endpoint Detection;External User;USA;5;Government;31;Containment
Ransomware;Network Switch;Failure;12:45.6;230.164.176.27;233.80.181.53;15.49;68;Endpoint Detection;External User;Australia;6;Healthcare;2;Quarantine
Ransomware;Network Switch;Success;20:57.6;100.138.119.133;233.98.189.5;52.6;49;IDS;Admin;Brazil;6;Energy;90;Quarantine
Malware;Network Switch;Success;22:38.6;161.90.51.123;157.158.145.222;7.44;83;IDS;External User;Brazil;1;Healthcare;18;Reset Credentials
Phishing;IoT Device;Failure;25:15.6;119.136.243.239;36.108.26.90;53.13;45;MFA;Contractor;Canada;1;Manufacturing;129;Containment
Phishing;Email Server;Success;22:06.6;61.26.110.133;74.250.181.175;12.44;186;IDS;External User;USA;10;Healthcare;172;Reset Credentials
Zero-Day Exploit;Email Server;Success;19:20.6;14.199.150.151;95.198.151.108;32.85;20;WAF;Employee;Australia;5;Technology;69;Block IP
Cross-Site Scripting;Database;Success;12:55.6;144.172.237.65;250.57.195.196;69.89;26;SIEM;External User;Canada;2;Energy;4;Quarantine
Zero-Day Exploit;Network Switch;Failure;41:26.6;154.65.233.9;21.252.189.70;69.07;217;VPN;Employee;UK;7;Education;113;Block IP
Zero-Day Exploit;User Account;Success;27:00.6;9.124.185.181;117.153.43.238;82.1;129;Endpoint Detection;Contractor;Germany;4;Technology;120;Quarantine
Phishing;Web Server;Success;56:29.6;74.66.72.16;69.30.57.111;48.62;90;IDS;Employee;USA;10;Energy;76;Containment
Brute Force;Network Switch;Failure;13:33.6;226.74.57.68;52.127.250.207;27.72;195;Endpoint Detection;Admin;Australia;9;Government;40;Quarantine
Brute Force;Email Server;Success;22:53.6;4.217.238.80;14.129.111.207;82.52;15;VPN;External User;Canada;8;Government;82;Patch
SQL Injection;User Account;Failure;10:48.6;132.154.136.8;15.178.148.133;12.89;223;Firewall;External User;USA;3;Education;101;Reset Credentials
Ransomware;Web Server;Success;51:56.6;155.100.99.162;162.15.13.234;84.08;39;Antivirus;External User;Canada;4;Retail;152;Containment
Brute Force;User Account;Success;58:17.6;135.42.82.75;130.8.154.19;92.7;168;IDS;Contractor;USA;5;Finance;136;Reset Credentials
DDoS;IoT Device;Failure;08:59.6;199.121.193.10;48.234.69.232;60.76;31;WAF;External User;Brazil;4;Energy;101;Patch
Phishing;IoT Device;Success;51:51.6;10.178.9.214;177.242.87.73;29.64;164;Antivirus;Admin;France;5;Finance;7;Containment
Phishing;User Account;Success;12:50.6;179.53.18.26;74.158.239.179;26.52;243;SIEM;Contractor;UK;8;Technology;120;Reset Credentials
Ransomware;IoT Device;Success;23:28.6;253.230.85.31;148.34.11.117;12.2;111;SIEM;Admin;France;6;Retail;175;Reset Credentials
Cross-Site Scripting;Web Server;Success;58:03.6;124.254.108.193;125.239.4.65;1.5;37;VPN;Contractor;India;7;Finance;13;Block IP
DDoS;User Account;Failure;28:26.6;62.189.93.109;58.160.87.188;52.61;138;IDS;Contractor;India;2;Healthcare;1;Containment
Phishing;Network Switch;Failure;37:56.6;1.44.144.76;171.91.82.17;95.15;29;Endpoint Detection;Contractor;China;7;Energy;92;Block IP
Ransomware;Database;Failure;30:02.6;213.171.3.41;152.191.113.93;42.22;111;Endpoint Detection;Contractor;Germany;3;Technology;119;Containment
Brute Force;Web Server;Success;02:34.6;122.141.56.212;76.204.75.186;58.04;225;IDS;Admin;Russia;4;Education;19;Quarantine
